host_id,bairro_group,price,minimo_noites,numero_de_reviews,latitude,longitude,reviews_por_mes,disponibilidade_365,Entire home/apt,Private room,Shared room
60278,Manhattan,2.0833333333333335,180,5,40.74623,-73.9953,0.12,180,1,0,0
61491,Manhattan,250.0,2,66,40.77065,-73.95269,0.57,231,1,0,0
63588,Brooklyn,200.0,30,143,40.67811,-73.96428,1.33,297,1,0,0
63613,Brooklyn,55.0,7,27,40.69,-73.96788,0.23,292,0,1,0
63924,Manhattan,52.0,30,191,40.75979,-73.99119,1.65,191,0,1,0
64056,Brooklyn,225.0,3,4,40.67343,-73.98338,0.16,0,1,0,0
64442,Manhattan,80.0,1,338,40.72649,-73.97904,4.72,72,0,1,0
64522,Brooklyn,275.0,1,148,40.70933,-73.96792,1.4,362,1,0,0
4396,Manhattan,99.0,1,106,40.72298,-73.98474,1.26,336,0,1,0
65837,Manhattan,225.0,4,190,40.80164,-73.93922,1.64,215,1,0,0
66035,Manhattan,230.0,9,49,40.72162,-73.98008,0.43,116,1,0,0
66243,Manhattan,51.0,7,23,40.76342,-73.98865,0.43,88,0,1,0
68428,Manhattan,65.0,2,49,40.83139,-73.94095,1.6,336,0,1,0
68599,Brooklyn,105.0,2,105,40.68346,-73.96374,0.92,304,0,1,0
69829,Manhattan,190.0,5,21,40.72828,-73.98801,0.2,224,1,0,0
69942,Manhattan,200.0,1,142,40.76865,-73.95058,1.5,322,0,1,0
70091,Queens,70.0,30,25,40.75038,-73.90334,0.22,324,0,1,0
71512,Brooklyn,95.0,3,143,40.6932,-73.97267,1.28,132,0,1,0
71876,Manhattan,150.0,3,167,40.74138,-74.00197,1.65,295,0,1,0
72014,Brooklyn,145.0,3,61,40.71154,-73.96112,0.54,238,0,1,0
73051,Manhattan,110.0,31,54,40.82915,-73.95136,0.49,209,1,0,0
73128,Manhattan,285.0,5,70,40.71851,-73.98892,0.62,328,1,0,0
73469,Brooklyn,130.0,6,16,40.65401,-73.96323,0.15,38,1,0,0
44263,Manhattan,94.0,30,94,40.7114,-73.98794,0.84,188,0,1,0
74857,Brooklyn,105.0,3,61,40.71833,-73.95748,0.53,272,1,0,0
62407,Manhattan,60.0,3,194,40.72334,-73.9844,1.73,26,0,1,0
76627,Manhattan,50.0,1,2,40.72912,-73.98057,0.05,0,0,1,0
72014,Brooklyn,85.0,3,174,40.71156,-73.96218,1.54,288,0,1,0
961342,Brooklyn,65.0,4,24,40.70032,-73.9383,0.28,317,0,1,0
78460,Brooklyn,131.0,4,166,40.68233,-73.97261,3.4,207,1,0,0
51038,Brooklyn,98.0,7,16,40.68634,-73.966,0.2,185,0,1,0
79070,Brooklyn,250.0,7,21,40.68035,-73.97162,0.3,158,1,0,0
79402,Brooklyn,100.0,5,168,40.70984,-73.95775,1.57,0,1,0,0
44145,Brooklyn,105.0,3,118,40.70093,-73.92609,1.05,9,1,0,0
42032,Manhattan,140.0,3,81,40.79764,-73.96177,0.71,198,1,0,0
82685,Manhattan,89.0,1,1,40.82803,-73.94731,0.11,365,0,1,0
83257,Manhattan,98.0,30,30,40.74008,-74.00271,0.27,364,0,1,0
87773,Brooklyn,125.0,7,139,40.68413,-73.92357,1.23,311,1,0,0
32294,Manhattan,60.0,3,11,40.82279,-73.95139,0.87,219,0,1,0
11481,Brooklyn,175.0,2,233,40.67967,-74.00154,2.09,342,1,0,0
63318,Manhattan,65.0,2,68,40.83927,-73.94281,0.6,312,0,1,0
93790,Manhattan,125.0,4,46,40.73096,-74.00319,0.55,243,1,0,0
97219,Brooklyn,101.0,3,335,40.71332,-73.94177,3.02,152,0,1,0
97797,Brooklyn,220.0,30,88,40.66941,-73.98109,0.79,9,1,0,0
87773,Brooklyn,125.0,90,162,40.68373,-73.92377,1.46,137,1,0,0
105538,Brooklyn,80.0,30,29,40.71459,-73.94844,0.4,222,1,0,0
107628,Manhattan,100.0,2,170,40.8092,-73.94421,1.61,346,0,1,0
109589,Brooklyn,200.0,30,19,40.68157,-73.98989,0.2,208,1,0,0
59734,Manhattan,59.0,2,334,40.75527,-73.99291,3.0,279,0,1,0
51038,Brooklyn,125.0,2,19,40.68698,-73.96572,0.2,250,0,1,0
112793,Manhattan,140.0,7,12,40.7288,-73.98192,0.13,164,1,0,0
42273,Brooklyn,120.0,30,467,40.66853,-73.98912,4.22,192,1,0,0
72062,Manhattan,175.0,2,7,40.7254,-73.98157,0.06,298,1,0,0
115157,Manhattan,199.0,5,38,40.74294,-73.98009,0.38,260,1,0,0
115307,Brooklyn,108.33333333333333,3,324,40.71942,-73.95748,3.01,107,1,0,0
115560,Manhattan,235.0,6,27,40.77823,-73.97637,0.27,199,1,0,0
72062,Manhattan,225.0,1,115,40.72555,-73.97965,1.05,299,1,0,0
118971,Brooklyn,99.0,2,354,40.66831,-73.98604,3.2,20,0,1,0
119510,Manhattan,170.0,2,195,40.82754,-73.94919,2.03,318,1,0,0
119588,Brooklyn,200.0,2,16,40.66499,-73.97925,0.24,216,1,0,0
119900,Manhattan,170.0,7,13,40.77842,-73.97556,0.12,224,1,0,0
120223,Manhattan,100.0,4,25,40.72245,-73.98527,0.23,0,1,0,0
65091,Brooklyn,75.0,2,9,40.65593,-73.96053,0.08,324,0,1,0
6197784,Brooklyn,90.0,1,9,40.71923,-73.96468,0.08,245,0,1,0
124352,Manhattan,150.0,5,21,40.778,-73.94822,0.19,189,1,0,0
124797,Manhattan,85.0,15,36,40.85879,-73.93128,0.33,307,0,1,0
35935,Brooklyn,70.0,3,63,40.68332,-73.9547,0.58,310,0,1,0
126607,Manhattan,120.0,3,155,40.81618,-73.94894,1.42,213,1,0,0
127608,Brooklyn,89.0,3,260,40.68414,-73.96351,2.35,278,0,1,0
125857,Manhattan,185.0,5,73,40.72392,-73.99143,0.66,209,1,0,0
129352,Brooklyn,50.0,3,193,40.73494,-73.9503,1.86,0,0,1,0
120335,Manhattan,105.0,3,32,40.71341,-73.98856,0.29,16,1,0,0
117287,Manhattan,130.0,2,50,40.76754,-73.98399,0.45,234,0,1,0
135619,Manhattan,115.0,29,26,40.73442,-74.00303,0.25,12,1,0,0
137292,Brooklyn,77.0,2,2,40.63188,-73.93248,0.02,178,0,1,0
137814,Brooklyn,76.0,2,426,40.6873,-73.9634,3.89,275,0,1,0
137974,Brooklyn,125.0,3,227,40.68296,-73.93662,2.09,163,1,0,0
116599,Brooklyn,135.0,4,84,40.6863,-73.96765,0.77,365,0,1,0
138579,Brooklyn,250.0,29,3,40.73409,-73.95348,0.03,34,1,0,0
139612,Brooklyn,199.0,3,10,40.71561,-73.94835,0.1,280,1,0,0
139874,Brooklyn,140.0,2,4,40.6857,-73.99183,0.04,0,1,0,0
140025,Queens,140.0,2,1,40.74028,-73.83168,0.01,1,0,1,0
137974,Brooklyn,115.0,3,124,40.68281,-73.93524,1.72,170,1,0,0
142833,Brooklyn,160.0,3,11,40.71596,-73.93938,0.11,188,1,0,0
143027,Brooklyn,195.0,4,240,40.71492,-73.95935,2.19,214,1,0,0
143048,Manhattan,195.0,3,30,40.72354,-73.98295,0.28,248,1,0,0
72014,Brooklyn,80.0,3,200,40.71165,-73.96087,1.86,262,0,1,0
149929,Brooklyn,44.0,8,27,40.69101,-73.97312,1.05,280,0,1,0
120291,Manhattan,156.0,4,79,40.73474,-74.00101,0.74,307,0,1,0
62165,Brooklyn,85.0,15,9,40.67386,-73.96641,0.09,339,0,1,0
142684,Brooklyn,125.0,3,155,40.71536,-73.96057,1.61,1,0,1,0
137432,Brooklyn,115.0,15,4,40.6741,-73.96595,0.05,269,1,0,0
157798,Manhattan,69.0,2,34,40.79295,-73.93997,0.32,10,0,1,0
158284,Manhattan,225.0,45,134,40.73226,-74.00401,1.24,312,1,0,0
159370,Brooklyn,125.0,6,27,40.71363,-73.96398,0.25,189,1,0,0
92788,Manhattan,219.0,4,126,40.77711,-73.9527,1.16,290,1,0,0
165789,Brooklyn,158.33333333333334,3,23,40.68559,-73.98094,0.27,230,1,0,0
168417,Manhattan,99.0,1,234,40.77456,-73.95323,2.6,164,1,0,0
168525,Brooklyn,69.0,4,202,40.71088,-73.95055,1.86,53,0,1,0
110506,Queens,79.0,30,28,40.74559,-73.92313,0.26,126,0,1,0
170510,Brooklyn,135.0,2,309,40.68306,-73.94659,2.86,3,1,0,0
171851,Brooklyn,250.0,3,14,40.70207,-73.98571,0.13,189,0,1,0
174025,Manhattan,250.0,3,4,40.76123,-73.9642,0.08,365,1,0,0
180083,Brooklyn,250.0,2,80,40.66858,-73.99083,2.17,0,1,0,0
181167,Manhattan,80.0,3,2,40.82704,-73.94907,0.04,0,1,0,0
137814,Brooklyn,70.0,2,294,40.68843,-73.96408,3.47,336,0,1,0
11481,Brooklyn,165.0,2,150,40.6783,-74.00135,1.4,342,1,0,0
185978,Staten Island,70.0,2,166,40.64524,-74.08088,1.66,312,0,1,0
177536,Brooklyn,50.0,2,47,40.70641,-73.91765,0.94,37,0,1,0
190409,Bronx,40.0,1,219,40.83232,-73.93184,2.04,353,0,1,0
193360,Brooklyn,150.0,2,193,40.71045,-73.9677,1.78,177,1,0,0
72062,Manhattan,125.0,1,84,40.72518,-73.98034,0.78,310,0,1,0
193722,Manhattan,196.0,3,114,40.70666,-74.01374,1.06,0,1,0,0
181376,Brooklyn,110.0,2,213,40.69098,-73.97113,2.0,321,0,1,0
193637,Manhattan,170.0,3,86,40.73756,-74.00405,0.8,246,1,0,0
126607,Manhattan,165.0,3,80,40.81526,-73.94791,0.75,231,1,0,0
201297,Manhattan,150.0,26,38,40.73423,-74.0046,0.36,225,1,0,0
202249,Manhattan,100.0,2,18,40.82374,-73.9373,1.79,0,1,0,0
67778,Brooklyn,65.0,2,206,40.68863,-73.97691,1.92,0,0,1,0
204539,Queens,43.75,8,10,40.70382,-73.89797,0.11,365,1,0,0
867225,Manhattan,99.0,4,122,40.80549,-73.95924,1.18,233,0,1,0
204724,Brooklyn,200.0,4,33,40.71627,-73.9587,0.58,1,1,0,0
8198,Brooklyn,150.0,5,52,40.67994,-73.97863,0.5,18,1,0,0
209460,Brooklyn,90.0,3,126,40.67992,-73.9475,1.17,343,0,1,0
210746,Brooklyn,120.0,3,51,40.67868,-73.97307,0.48,250,0,1,0
212722,Manhattan,75.0,3,199,40.76834,-73.95334,1.85,326,0,1,0
214148,Brooklyn,175.0,26,30,40.68237,-73.9415,0.29,364,1,0,0
214287,Manhattan,125.0,3,3,40.74031,-73.99999,0.03,0,1,0,0
218404,Manhattan,275.0,1,41,40.76307,-73.99665,0.38,299,1,0,0
221873,Manhattan,299.0,2,109,40.71882,-73.98852,1.04,207,1,0,0
9744,Brooklyn,135.0,5,151,40.6693,-73.98804,1.43,162,1,0,0
236421,Manhattan,130.0,14,0,40.77333,-73.95199,,0,0,1,0
236655,Manhattan,83.0,1,285,40.72319,-73.99201,2.69,7,0,1,0
237329,Manhattan,123.0,1,375,40.74859,-73.99671,3.52,328,0,1,0
27848,Queens,55.0,2,52,40.67252,-73.76597,0.49,365,0,1,0
240360,Manhattan,195.0,5,10,40.76244,-73.99271,1.01,0,1,0,0
247432,Brooklyn,80.0,2,11,40.69546,-73.93503,0.48,0,0,1,0
204539,Queens,98.0,30,33,40.71722,-73.87856,0.31,240,1,0,0
204539,Queens,140.0,7,6,40.70234,-73.89816,0.06,365,0,1,0
204539,Queens,265.0,7,38,40.71546,-73.87854,0.38,365,1,0,0
10889,Brooklyn,249.0,2,358,40.7195,-73.95976,3.44,164,1,0,0
255583,Manhattan,105.0,6,10,40.76548,-73.98474,0.09,363,0,0,1
253385,Manhattan,200.0,30,0,40.80234,-73.95603,,365,0,1,0
210746,Brooklyn,100.0,2,226,40.6787,-73.97262,2.12,250,0,1,0
256161,Manhattan,121.0,1,104,40.81035,-73.94598,1.0,247,1,0,0
190409,Bronx,45.0,1,138,40.83075,-73.93058,1.45,323,0,1,0
258164,Manhattan,100.0,5,204,40.79958,-73.94275,1.92,192,0,1,0
260709,Brooklyn,140.0,2,253,40.71625,-73.93845,3.04,125,1,0,0
262138,Brooklyn,71.0,2,23,40.6829,-73.93549,0.22,91,0,1,0
88209,Manhattan,130.0,2,115,40.72773,-73.99134,1.17,75,0,1,0
263414,Manhattan,199.0,5,129,40.72861,-74.0049,1.22,286,1,0,0
168525,Brooklyn,69.0,4,82,40.70979,-73.95162,1.13,60,0,1,0
264928,Brooklyn,68.0,3,37,40.68656,-73.97525,0.35,0,0,1,0
267593,Manhattan,130.0,1,204,40.72752,-73.98432,2.04,192,1,0,0
268014,Brooklyn,195.0,2,69,40.729,-73.95829,0.65,58,1,0,0
256161,Manhattan,64.0,1,192,40.81219,-73.94499,1.84,245,0,1,0
272006,Queens,140.0,2,17,40.77185,-73.90502,0.16,292,1,0,0
199392,Brooklyn,159.0,2,222,40.68926,-73.99386,2.12,279,1,0,0
239208,Manhattan,189.0,3,205,40.72821,-73.98701,1.96,0,1,0,0
274557,Manhattan,250.0,3,94,40.7672,-73.98508,0.96,3,1,0,0
275459,Manhattan,239.0,3,7,40.73012,-73.99053,0.07,351,1,0,0
275578,Manhattan,305.0,2,108,40.7403,-73.98498,1.09,201,1,0,0
276291,Manhattan,155.0,3,222,40.80931,-73.94343,2.1,232,1,0,0
277379,Manhattan,60.0,1,458,40.8251,-73.94287,4.58,258,0,1,0
277394,Brooklyn,135.0,2,21,40.6585,-73.98397,0.26,272,0,1,0
279797,Manhattan,120.0,7,17,40.76193,-73.9501,0.3,341,0,1,0
282927,Manhattan,150.0,3,41,40.72052,-73.98589,0.39,244,1,0,0
204539,Queens,140.0,14,1,40.70411,-73.89934,0.01,365,1,0,0
274782,Brooklyn,135.0,2,69,40.73401,-73.95967,0.67,12,1,0,0
186084,Manhattan,250.0,4,18,40.71756,-73.99503,0.18,265,1,0,0
288031,Manhattan,250.0,30,82,40.7589,-73.96991,0.78,0,1,0,0
289653,Manhattan,125.0,4,94,40.72003,-74.00262,0.99,329,1,0,0
99212,Manhattan,225.0,5,10,40.73194,-73.99474,0.1,91,1,0,0
292204,Manhattan,125.0,28,183,40.79163,-73.94573,1.83,365,1,0,0
256161,Manhattan,92.0,1,189,40.8118,-73.94434,1.82,253,0,1,0
249372,Manhattan,175.0,2,1,40.81583,-73.94707,0.11,365,0,1,0
292630,Manhattan,99.0,2,127,40.72654,-73.98049,1.22,320,1,0,0
293394,Manhattan,195.0,4,4,40.80021,-73.96071,0.04,0,1,0,0
126607,Manhattan,140.0,3,135,40.80942,-73.93936,1.3,192,1,0,0
295760,Manhattan,135.0,2,21,40.71961,-73.9954,0.2,0,1,0,0
291112,Manhattan,250.0,2,35,40.74358,-74.00027,0.34,348,1,0,0
297176,Manhattan,80.0,14,10,40.80335,-73.9575,2.21,0,0,1,0
297769,Manhattan,120.0,4,171,40.71445,-73.9908,1.8,353,0,1,0
23619,Manhattan,110.0,200,92,40.75749,-73.96897,0.9,140,1,0,0
281764,Brooklyn,65.0,3,238,40.64446,-73.9503,2.3,2,1,0,0
303882,Manhattan,130.0,50,56,40.7268,-73.99079,0.58,56,1,0,0
197755,Brooklyn,99.0,3,111,40.688,-73.9171,2.13,68,1,0,0
303939,Staten Island,36.0,2,193,40.63536,-74.08537,1.85,360,0,1,0
303939,Staten Island,37.0,2,147,40.63627,-74.08543,1.44,0,0,1,0
303939,Staten Island,37.0,2,177,40.63518,-74.08546,1.71,320,0,1,0
306545,Manhattan,175.0,3,185,40.72477,-73.98161,1.78,326,1,0,0
306605,Manhattan,205.0,9,62,40.74238,-73.99567,0.7,76,1,0,0
306739,Brooklyn,285.0,3,124,40.72945,-73.95511,1.22,279,1,0,0
308875,Brooklyn,59.0,2,181,40.70763,-73.95177,1.77,15,0,1,0
303939,Staten Island,36.0,2,333,40.63481,-74.08519,3.19,340,0,1,0
307962,Queens,99.0,5,441,40.75384,-73.91433,4.5,226,1,0,0
308652,Brooklyn,39.0,1,45,40.64106,-73.97426,0.46,365,0,1,0
310458,Brooklyn,60.0,14,9,40.66793,-73.98327,0.09,0,0,1,0
295128,Bronx,90.0,2,0,40.81309,-73.85514,,349,0,1,0
310670,Bronx,105.0,2,38,40.88057,-73.83572,0.5,365,1,0,0
170510,Brooklyn,135.0,2,248,40.68236,-73.94314,2.39,11,1,0,0
306545,Manhattan,78.0,5,143,40.72185,-73.98246,1.38,316,1,0,0
311286,Brooklyn,70.0,3,36,40.68503,-73.95385,0.41,281,0,1,0
312288,Manhattan,75.0,7,0,40.86648,-73.9263,,323,0,1,0
312722,Brooklyn,60.0,17,14,40.7069,-73.95467,0.14,362,0,1,0
146944,Manhattan,200.0,3,0,40.72807,-73.98594,,0,1,0,0
313317,Brooklyn,100.0,3,279,40.6778,-73.94339,2.69,301,0,1,0
311286,Brooklyn,70.0,4,18,40.68317,-73.94701,0.22,189,0,1,0
314256,Brooklyn,110.0,6,50,40.6761,-73.9529,3.55,0,0,1,0
314582,Brooklyn,60.0,2,227,40.67586,-73.95155,2.27,287,0,1,0
7310,Manhattan,90.0,14,1,40.71702,-73.99811,0.16,14,1,0,0
46978,Manhattan,68.0,2,203,40.72321,-73.98157,1.96,86,0,1,0
317809,Manhattan,115.0,2,210,40.77956,-73.98098,2.1,261,1,0,0
319092,Brooklyn,75.0,5,64,40.68276,-73.95264,0.67,68,0,1,0
320422,Brooklyn,60.0,3,0,40.71368,-73.9626,,0,0,1,0
320450,Manhattan,129.0,7,5,40.72956,-73.98158,0.15,231,1,0,0
320761,Brooklyn,130.0,10,49,40.71069,-73.95175,0.48,152,1,0,0
320538,Brooklyn,95.0,4,132,40.70863,-73.94641,1.27,46,1,0,0
321756,Manhattan,75.0,3,20,40.82888,-73.94307,0.26,364,0,1,0
321934,Brooklyn,175.0,2,11,40.67319,-73.97323,0.11,246,1,0,0
322884,Brooklyn,190.0,3,51,40.67846,-73.99443,0.57,288,1,0,0
322716,Brooklyn,49.0,21,15,40.6715,-73.94808,0.15,331,0,1,0
324460,Manhattan,212.0,3,67,40.72681,-73.98534,1.31,51,1,0,0
314941,Manhattan,95.0,1,109,40.71904,-73.99392,1.11,364,0,1,0
325389,Brooklyn,140.0,2,9,40.71031,-73.9583,0.11,254,1,0,0
136227,Manhattan,135.0,6,187,40.81322,-73.95306,1.87,189,1,0,0
327673,Brooklyn,150.0,2,214,40.67732,-73.98225,2.08,263,1,0,0
329436,Brooklyn,190.0,3,69,40.68076,-73.9896,0.79,258,1,0,0
101597,Manhattan,124.0,28,22,40.79603,-73.94903,0.26,103,1,0,0
330347,Brooklyn,135.0,30,56,40.71492,-73.96282,0.56,42,1,0,0
332189,Manhattan,122.0,3,93,40.80393,-73.95838,0.93,246,0,1,0
323517,Manhattan,109.0,1,104,40.80082,-73.9652,1.05,364,0,1,0
338454,Manhattan,85.0,30,64,40.82976,-73.94867,0.68,318,0,1,0
240427,Brooklyn,145.0,3,127,40.683,-73.91981,1.25,72,1,0,0
342054,Manhattan,195.0,11,30,40.78971,-73.9729,0.32,249,1,0,0
282655,Brooklyn,250.0,2,106,40.67817,-73.99495,1.34,272,1,0,0
343250,Brooklyn,125.0,3,6,40.73119,-73.95578,0.1,325,0,1,0
281229,Manhattan,287.5,2,191,40.71943,-73.99627,1.88,298,1,0,0
352168,Manhattan,150.0,30,48,40.78,-73.98249,0.55,35,1,0,0
155689,Brooklyn,70.0,5,47,40.70514,-73.91922,0.49,203,0,1,0
353965,Manhattan,90.0,2,120,40.86713,-73.92811,1.27,132,0,1,0
354330,Manhattan,65.0,3,52,40.73198,-73.98881,0.63,5,0,1,0
72062,Manhattan,250.0,2,48,40.72542,-73.97986,0.48,297,1,0,0
361855,Manhattan,250.0,3,32,40.83494,-73.93869,0.43,276,1,0,0
363834,Manhattan,125.0,25,43,40.71659,-73.98945,0.42,102,1,0,0
364955,Manhattan,200.0,30,39,40.72966,-74.00243,0.44,251,1,0,0
365153,Brooklyn,229.0,1,50,40.72898,-73.95552,0.5,188,1,0,0
369015,Bronx,90.0,30,4,40.87207,-73.90193,0.35,346,1,0,0
373085,Manhattan,110.0,13,38,40.77728,-73.97818,0.39,0,1,0,0
340692,Brooklyn,59.0,3,29,40.72646,-73.95341,0.36,15,0,1,0
211877,Brooklyn,195.0,4,59,40.71015,-73.96101,0.6,71,1,0,0
389924,Brooklyn,169.0,1,68,40.71903,-73.9597,0.67,215,1,0,0
331328,Manhattan,113.0,14,26,40.80892,-73.93985,0.27,253,1,0,0
391325,Manhattan,250.0,14,31,40.80276,-73.9567,0.31,78,1,0,0
265109,Queens,115.0,2,198,40.77635,-73.93426,2.01,257,1,0,0
394752,Brooklyn,55.0,2,1,40.72488,-73.95018,0.01,0,0,1,0
308875,Brooklyn,69.0,2,220,40.71398,-73.95763,2.17,8,0,1,0
401696,Manhattan,150.0,3,286,40.71876,-73.98394,2.81,191,1,0,0
118971,Brooklyn,169.0,2,398,40.66552,-73.99019,3.97,182,1,0,0
417504,Brooklyn,179.0,3,36,40.73749,-73.95292,0.36,79,0,1,0
134355,Manhattan,150.0,3,36,40.76248,-73.9913,0.36,49,0,1,0
422561,Brooklyn,135.0,4,6,40.68674,-73.98876,0.1,0,1,0,0
425506,Brooklyn,58.333333333333336,6,14,40.6848,-73.96219,0.3,156,1,0,0
430188,Brooklyn,120.0,14,76,40.70516,-73.95455,0.76,343,0,1,0
434987,Manhattan,71.0,2,182,40.72329,-73.98486,1.81,200,0,1,0
417504,Brooklyn,116.33333333333333,3,8,40.73776,-73.95327,0.09,60,0,1,0
417504,Brooklyn,116.33333333333333,3,7,40.73738,-73.95482,0.07,60,0,1,0
438133,Brooklyn,165.0,30,34,40.67542,-73.98142,0.51,189,1,0,0
417504,Brooklyn,249.0,3,2,40.73842,-73.95312,0.02,60,0,1,0
448312,Brooklyn,100.0,3,66,40.6926,-73.99832,0.68,0,0,1,0
448312,Brooklyn,200.0,3,80,40.69441,-73.99771,0.85,106,1,0,0
449787,Manhattan,169.0,4,240,40.72399,-73.98374,2.4,276,1,0,0
451545,Brooklyn,185.0,3,46,40.6824,-73.94615,1.07,248,1,0,0
453519,Brooklyn,65.0,2,228,40.68949,-73.91708,2.27,194,1,0,0
454756,Brooklyn,130.0,35,5,40.68819,-73.97258,0.05,135,1,0,0
456638,Brooklyn,199.0,30,8,40.7205,-73.96015,0.11,30,1,0,0
410094,Manhattan,225.0,2,33,40.72451,-73.98094,0.33,0,1,0,0
417504,Brooklyn,179.0,3,13,40.73813,-73.95394,0.14,81,0,1,0
459054,Brooklyn,150.0,5,5,40.67591,-73.94715,0.05,0,1,0,0
462776,Manhattan,139.0,1,388,40.72843,-73.98895,3.88,142,1,0,0
464506,Manhattan,95.0,3,223,40.71271,-73.99776,2.22,60,0,1,0
322716,Brooklyn,79.0,15,11,40.66966,-73.94735,0.11,179,1,0,0
327900,Manhattan,150.0,2,151,40.71965,-73.98766,1.51,52,1,0,0
